code,product_name,quantity,country,ingredients,allergens,additives,nutriscore_score,nutriscore_grade,energy-kcal_100g,energy_100g,fat_100g,saturated-fat_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,image_url,image_ingredients_url,image_nutrition_url
20621445,Spécial Flakes chocolat noir,425,"België,Frankrijk,Spanje","_blé_ complet 48%, riz 32%, chocolat 18% (sucre, pâte de cacao, beurre de cacao, beurre concentré (contient du _lait_), cacao maigre en poudre émulsifiant (lécithine de tournesol)), sucre, sirop de sucre inverti, extrait de malt d'_orge_, sel de cuisine, sirop de glucose  Chocolat à teneur en cacao 51% minimum,","en:gluten,en:milk","en:e322,en:e322i",8,c,405,1695,7,4,18,7,9,0,0,https://static.openfoodfacts.org/images/products/20621445/front_fr.139.400.jpg,https://static.openfoodfacts.org/images/products/20621445/ingredients_fr.73.400.jpg,https://static.openfoodfacts.org/images/products/20621445/nutrition_fr.34.400.jpg
3760099519025,CEREALES MACA OMEGA SANS GLUTEN,25,"Francia,España","Dattes&quot;, graines de tournesol&quot;, de sésame de courge*, miel¨, maca (1000mg), graines de chanvre&quot;, de lin&quot;, de pavot&quot;, jus de pomme&quot;, vanille&quot;, antioxydant : acide ascorbique.",,en:e300,10,c,491,2054,31,4,31,10,16,0,0,https://static.openfoodfacts.org/images/products/376/009/951/9025/front_fr.6.400.jpg,https://static.openfoodfacts.org/images/products/376/009/951/9025/ingredients_fr.12.400.jpg,https://static.openfoodfacts.org/images/products/376/009/951/9025/nutrition_fr.16.400.jpg
41415098053,"Publix, instant oatmeal, maple & brown sugar",20,United States,"Whole grain rolled oats, sugar, natural and artificial flavors, salt, guar gum, caramel color, sucralose (splenda brand). vitamins and minerals: calcium carbonate (a source of calcium), niacinamide*, reduced iron, vitamin a palmitate, pyridoxine hydrochloride*, riboflavin*, thiamine mononitrate*, folic acid*, vitamin d.",,"en:e150c,en:e412,en:e955",9,c,353,1477,6,0,12,9,12,2,1,https://static.openfoodfacts.org/images/products/004/141/509/8053/front_en.4.400.jpg,https://static.openfoodfacts.org/images/products/004/141/509/8053/ingredients_en.6.400.jpg,
4061458026017,Blätterteig / Pâte feuilletée,275,Deutschland,"Weizenmehl, Palmfett, Trinkwasser, Rapsöl, Ethylalkohol, Zucker, Speisesalz, Säuerungsmittel: Citronensäure.",en:gluten,"en:e1510,en:e330",18,d,424,1774,30,16,2,0,5,1,0,https://static.openfoodfacts.org/images/products/406/145/802/6017/front_de.22.400.jpg,https://static.openfoodfacts.org/images/products/406/145/802/6017/ingredients_de.20.400.jpg,
29019984,Fideos Orientales,250,Deutschland,"_Weizenmehl_, Salz, Säureregulatoren: Kaliumcarbonat",en:gluten,"en:e501,en:e501i",-1,a,363,1519,1,0,3,0,11,0,0,https://static.openfoodfacts.org/images/products/29019984/front_de.10.400.jpg,https://static.openfoodfacts.org/images/products/29019984/ingredients_de.11.400.jpg,https://static.openfoodfacts.org/images/products/29019984/nutrition_de.76.400.jpg
29066704,Flammkuchenteig,540,en:Germany,"_Weizenmehl_, Wasser, pflanzliches Fett (Palm), pflanzliches Öl (Raps), Ethylalkohol, _Weizenstärke_, Dextrose, Speisesalz, Säuerungsmittel: Citronensäure; Emulgator: Mono - und Diglyceride von Speisefettsäuren; Antioxidationsmittel: Ascorbinsäure.",en:gluten,"en:e1510,en:e300,en:e330,en:e471",17,d,372,1556,23,12,1,0,6,1,0,https://static.openfoodfacts.org/images/products/29066704/front_de.4.400.jpg,https://static.openfoodfacts.org/images/products/29066704/ingredients_de.7.400.jpg,https://static.openfoodfacts.org/images/products/29066704/nutrition_de.10.400.jpg
4311501640975,KNUSPER Müsli Heidelbeer Joghurt,500,en:Germany,"Knuspermüsli (_Hafervollkornflocken_, Getreide-Extrudat (_Weizenmehl_, Maisstärke, _Weizenmalzmehl_, Reismehl, Speisesalz, _Gerstenmalzmehl_, _Weizenmalzmehl_), Oligofruktosesirup, Zucker, Palmfett, Speisesalz), Hei - delbeer-Knuspermüsli (_Hafervollkornflocken_, Zucker, Getreide-Extrudat (_Hafervollkornflocken_, _Weizenmehl_, Zucker, _Gerstenmalzextrakt_, Speise - salz), Palmfett, Heidelbeersaftkonzentrat, Säuerungsmittel: Citronensäure; Speisesalz), getrocknete, gesüßte und aromatisierte Heidelbeeren (Heidelbeeren, Apfelsaftkonzentrat, Sonnenblumenöl, natürliches Aroma), Cornflakes mit magermilchjoghurthaltigem Fettüberzug (Zucker, pflanzliche Fette (Palm, Palmkern), Cornflakes (Mais, Zucker, Gerstenmalzextrakt Emulgator: Lecithine), _Laktose_, _Magermilchjoghurtpulver_, Emulgator: Lecithine), weiße Schokoladenstücke mit Joghurtgeschmack (Zucker, Kakaobutter, _Vollmilchpulver_, _Magermilchjoghurtpulver_, Emulgator: Lecithine), getrocknete gezuckerte Cranberries (Cranberries, Zucker, Traubensaftkonzentrat, Heidelbeersaftkonzentrat, Sonnenblumenöl).","en:gluten,en:milk","en:e322,en:e330",11,d,426,1782,13,6,19,12,10,0,0,https://static.openfoodfacts.org/images/products/431/150/164/0975/front_de.3.400.jpg,https://static.openfoodfacts.org/images/products/431/150/164/0975/ingredients_de.5.400.jpg,https://static.openfoodfacts.org/images/products/431/150/164/0975/nutrition_de.8.400.jpg
4001163000506,Eierspätzle,400,"Deutschland,en:germany","_Weizenmehl_, Trinkwasser, 18% _Vollei_*, Speisesalz, Rapsöl, Säuerungsmittel: Citronensäure, Gewürzextrakt. * (Eier aus Bodenhaltung).","en:eggs,en:gluten",en:e330,3,c,164,686,3,1,1,2,6,1,0,https://static.openfoodfacts.org/images/products/400/116/300/0506/front_de.3.400.jpg,https://static.openfoodfacts.org/images/products/400/116/300/0506/ingredients_de.11.400.jpg,https://static.openfoodfacts.org/images/products/400/116/300/0506/nutrition_de.16.400.jpg
9120003413520,Frischer Dinkel-Blätterteig,270,Deutschland,"46 % Dinkelmehl: Palmfett; Trinkwasser; Ethylalkohol; Dinkelkleber; Dinkelquellstärke; Rapsöl; Zucker, Speisesalz Sauerungsmittel: Citronensäure; Antioxidationsmittel: Ascorbinsäure.",,"en:e1510,en:e300,en:e330",16,d,403,1686,24,13,2,2,8,1,0,https://static.openfoodfacts.org/images/products/912/000/341/3520/front_de.7.400.jpg,https://static.openfoodfacts.org/images/products/912/000/341/3520/ingredients_de.10.400.jpg,https://static.openfoodfacts.org/images/products/912/000/341/3520/nutrition_de.19.400.jpg
837328000050,Organic ramen,270,"France, Germany, en:australia","_Farine de Blé_ 97%, Sel 2%, Sels (E500, E501), Eau.",en:gluten,"en:e500,en:e501",10,c,313,1310,1,0,0,3,13,2,1,https://static.openfoodfacts.org/images/products/083/732/800/0050/front_fr.16.400.jpg,https://static.openfoodfacts.org/images/products/083/732/800/0050/ingredients_fr.18.400.jpg,https://static.openfoodfacts.org/images/products/083/732/800/0050/nutrition_fr.28.400.jpg
