code,product_name,quantity,country,ingredients,allergy,additives,nutriscore_score,nutriscore_grade,energy-kcal_100g,Energy-kj_100g,fat_100g,saturated-fat_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,image_url,image_ingredients_url,image_nutrition_url
3222475025853,Poêlée légumes & pommes de terre - Méditerranéenne,700,France,"Courgettes grillées 25% - pommes de terre préfrites 22,7% (pommes de terre - huile végétale de tournesol - dextrose) - brocolis 22,5% - oignons 11,2% - poivrons rouges grillés 8,7% - huile végétale de tournesol - huile d'olive vierge extra - arômes naturels - épices et aromates (persil - ail - romarin - curcuma) - farine de _blé_ - sel.   traces de _céleri_, _oeufs_, _lait_, _poisson_, _crustacés_ et _moutarde_.",en:gluten,no_additives,-7,a,75,315,3.2,0.5,2.3,2.7,2,0.4,0.16,https://static.openfoodfacts.org/images/products/322/247/502/5853/front_fr.4.400.jpg,https://static.openfoodfacts.org/images/products/322/247/502/5853/ingredients_fr.14.400.jpg,https://static.openfoodfacts.org/images/products/322/247/502/5853/nutrition_fr.10.400.jpg
3256226845742,Tomates farcies,350,France,"Ingrédients Tomates farcies 62,8% [tomates fraîches 40% pois chiche 6,7%, oignons préfrits (oignons, huile de tournesol), eau, huile de colza, carottes tomates semi déshydratées et marinées 1,3% (tomates, huile de colza, sel, origan, ail), flocons de pomme de terre déshydratés (pomme de terre émulsifiant : E 471), ail, persil, blanc d'euf en poudre, sel, basilic, paprika, thym, piment], tomates 11,9% (tomates pelées concassées et jus et pulpe de tomates), riz cuit 11,7% (eau, riz complet), lentilles vertes cuites 6,3%, purée de tomates double concentrée 1,6%, oignons, eau, huile de colza, purée d'ail, sucre, sel, persil, thym, épaississant:gommexanthane, poivre. Certains ingrédients de ce produit ne proviennent pas de France. Produit fabriqué dans un atelier qui utilise poissons, crustacés, mollusques, soja, céleri, lait, moutarde et céréales contenant du gluten.","en:celery,en:crustaceans,en:eggs,en:fish,en:gluten,en:milk,en:molluscs,en:mustard,en:soybeans",en:e471,-3,a,107,448,4.9,0.4,2.6,0,3.4,0.7,0.28,https://static.openfoodfacts.org/images/products/325/622/684/5742/front_en.3.400.jpg,https://static.openfoodfacts.org/images/products/325/622/684/5742/ingredients_en.6.400.jpg,https://static.openfoodfacts.org/images/products/325/622/684/5742/nutrition_en.30.400.jpg
7610807134629,Tomates séchées dans de l'huile,280,Suisse,"Tomates marinées 50 % (tomates séchées, vinaigre de vin blanc, sel de cuisine, acidifiant [E 330], antioxydant [E 300]), huiles végétales (tournesol, olive), herbes aromatiques. Teneur totale en sel de cuisine: 2.7%.",,"en:e300,en:e330",5,c,151,630,9,0,0,0,3,3.8,1.52,https://static.openfoodfacts.org/images/products/761/080/713/4629/front_fr.6.400.jpg,https://static.openfoodfacts.org/images/products/761/080/713/4629/ingredients_fr.16.400.jpg,https://static.openfoodfacts.org/images/products/761/080/713/4629/nutrition_fr.23.400.jpg
5400111009605,Pickles - maître saucier,490,Belgium,"Eau, chou-fleur 21% (_sulfites_), cornichons 17%, oignons 8% (_sulfites_), moutarde 6% (eau, graines de _moutarde_, vinaigre, sel, sucre, curcuma), amidon de maïs  modifié, vinaigre, sel, sucre, mélange d’épices, colorants (lutéine, bêta-carotène), arômes naturels","en:mustard,en:sulphur-dioxide-and-sulphites","en:e160a,en:e160ai,en:e161b",5,c,29,122,0.5,0.1,1.7,0.2,0.6,3.5,1.4,https://static.openfoodfacts.org/images/products/540/011/100/9605/front_fr.4.400.jpg,https://static.openfoodfacts.org/images/products/540/011/100/9605/ingredients_fr.9.400.jpg,https://static.openfoodfacts.org/images/products/540/011/100/9605/nutrition_fr.15.400.jpg
3661945730031,Pois vert wasabi,140,France,"Pois vert, _wasabi_ (6 %), farine de _blé_, farine de riz gluant, sucre, miel, sel, huile de tournesol, huile de palme, colorants : E102, E133.","en:gluten,fr:wasabi","en:e102,en:e133",1,b,440,1841,12,4,10,0,16,0.3,0.12,https://static.openfoodfacts.org/images/products/366/194/573/0031/front_fr.29.400.jpg,https://static.openfoodfacts.org/images/products/366/194/573/0031/ingredients_fr.14.400.jpg,https://static.openfoodfacts.org/images/products/366/194/573/0031/nutrition_fr.31.400.jpg
3242274000059,Salade & Compagnie - Manhattan,320,"France,Suisse","Salade composée 82% : conchiglie cuit (eau, semoule de blé dur, oeuf, sel, curcuma), oeuf, salade 12%, viande de poulet, carottes, tomates 7%, fromage, jus de citron, huiles végétales (colza, tournesol), eau, fécule de manioc, dextrose de blé, ferments, conservateur: E1105, sel, arôme naturel.  Sauce vinaigrette balsamique 8% : huile de colza, huile d'olive vierge, vinaigre de vin (sulfites), moût de raisin, sel.  Cookie aux pépites de chocolat 5% : farine de blé, œuf, beurre concentré, huile de colza, sucre, eau, pâte de cacao, poudre de cacao maigre, beurre de cacao, amidon de blé, poudres à lever: E450, carbonates de sodium, émulsifiant : lécithine de tournesol, arôme vanille, sel.  Gressins 5%: farine de blé, eau, huile d'olive vierge, romarin, levure boulangère, sel, graines de pavot, semoule de blé dur, sucre.","en:eggs,en:gluten,en:milk,en:sulphur-dioxide-and-sulphites","en:e1105,en:e322,en:e322i,en:e450,en:e500",-5,a,186,777,11,2.3,3.4,2.2,7.6,0.53,0.21,https://static.openfoodfacts.org/images/products/324/227/400/0059/front_fr.188.400.jpg,https://static.openfoodfacts.org/images/products/324/227/400/0059/ingredients_fr.180.400.jpg,https://static.openfoodfacts.org/images/products/324/227/400/0059/nutrition_fr.191.400.jpg
4012200032947,Oignons frits,100,"Canada,France,Allemagne,Suisse","Oignons (76 %), huile de palme, farine de blé, sel.",en:gluten,no_additives,19,e,590,2455,44,21,14,5.4,6,1.5,0.6,https://static.openfoodfacts.org/images/products/401/220/003/2947/front_fr.114.400.jpg,https://static.openfoodfacts.org/images/products/401/220/003/2947/ingredients_fr.90.400.jpg,https://static.openfoodfacts.org/images/products/401/220/003/2947/nutrition_fr.116.400.jpg
5057753283988,Garlic Baguette,170,en:United Kingdom,"Wheat Flour (Wheat Flour, Calcium Carbonate, Iron, Niacin, Thiamin), Water, Palm Oil, Rapeseed Oil, Garlic, Salt, Yeast, Concentrated Lemon Juice, Dried Parsley, Emulsifier (Mono - and Di-Glycerides of Fatty Acids), Flour Treatment Agent (Ascorbic Acid), Flavouring, Colour (Beta-Carotene). Allergy Advice For allergens, including cereals containing gluten, see ingredients in bold. Suitable for vegans",en:gluten,"en:e160a,en:e160ai,en:e300,en:e471",-2,a,339,1418,13,4,2.7,2.2,9.7,0.8,0.32,https://static.openfoodfacts.org/images/products/505/775/328/3988/front_en.4.400.jpg,https://static.openfoodfacts.org/images/products/505/775/328/3988/ingredients_en.7.400.jpg,https://static.openfoodfacts.org/images/products/505/775/328/3988/nutrition_en.10.400.jpg
26053943,Mélange de légumes,1,France,"Pommes de terre pré-frites 22% (pomme de terre, huile de tournesol), carottes 21%, brocolis 18%, haricots verts 15%, champignons, eau, oignons 5%, oignons pré-frits 4% (oignon, huile de tournesol), huile végétale de colza, ciboulette, ail, sel, amidon de riz, farine de _blé_, poivre blanc.",en:gluten,no_additives,-2,a,62,259,2.8,0.5,1.6,0,1.5,0.76,0.304,https://static.openfoodfacts.org/images/products/26053943/front_fr.47.400.jpg,https://static.openfoodfacts.org/images/products/26053943/ingredients_fr.48.400.jpg,https://static.openfoodfacts.org/images/products/26053943/nutrition_fr.45.400.jpg
5057753283988,Garlic Baguette,170,en:United Kingdom,"Wheat Flour (Wheat Flour, Calcium Carbonate, Iron, Niacin, Thiamin), Water, Palm Oil, Rapeseed Oil, Garlic, Salt, Yeast, Concentrated Lemon Juice, Dried Parsley, Emulsifier (Mono - and Di-Glycerides of Fatty Acids), Flour Treatment Agent (Ascorbic Acid), Flavouring, Colour (Beta-Carotene). Allergy Advice For allergens, including cereals containing gluten, see ingredients in bold. Suitable for vegans",en:gluten,"en:e160a,en:e160ai,en:e300,en:e471",-2,a,339,1418,13,4,2.7,2.2,9.7,0.8,0.32,https://static.openfoodfacts.org/images/products/505/775/328/3988/front_en.4.400.jpg,https://static.openfoodfacts.org/images/products/505/775/328/3988/ingredients_en.7.400.jpg,https://static.openfoodfacts.org/images/products/505/775/328/3988/nutrition_en.10.400.jpg
