code,product_name,quantity,country,ingredients,allergens,additives,additives,nutriscore_score,nutriscore_grade,energy-kcal_100g,energy-kj_100g,fat_100g,saturated-fat_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,image_url,image_ingredients_url,image_nutrition_url
5449000000996,Coca Cola,330,"Belgique,France,Italie,Algérie,Andorre,Autriche,Brésil,Cameroun,Canada,Géorgie,Allemagne,Inde,Irlande,Luxembourg,Mali,Martinique,Mexique,Maroc,Pays-Bas,Nouvelle-Calédonie,Pologne,Portugal,La Réunion,Roumanie,Arabie saoudite,Sénégal,Espagne,Suisse,Tunisie,Royaume-Uni,États-Unis","water, sugar, carbon dioxide, dye e150d, acidifier e338, natural flavors including caffeine,",nothing,3,"en:e150d,en:e290,en:e338",14,e,42,180,0,0,10.6,0,0,0,0,https://static.openfoodfacts.org/images/products/544/900/000/0996/front_en.505.400.jpg,https://static.openfoodfacts.org/images/products/544/900/000/0996/ingredients_en.284.400.jpg,https://static.openfoodfacts.org/images/products/544/900/000/0996/nutrition_en.402.400.jpg
6191509900664,Tunisian extra virgin olive oil,1,"France,Suisse,en:tunisia, United States","extra virgin olive oil,",nothing,0,nothing,6,c,800,3347,93.33,16.8,0,0,0,0,0,https://static.openfoodfacts.org/images/products/619/150/990/0664/front.12.400.jpg,https://static.openfoodfacts.org/images/products/619/150/990/0664/ingredients.16.400.jpg,https://static.openfoodfacts.org/images/products/619/150/990/0664/nutrition.13.400.jpg
6194043401857,Warda spaghetti,500,Tunisie,semoule de blé dur 100%,en:gluten,0,nothing,13,d,369,1544,1.5,1.5,3,0,12,2,0.8,https://static.openfoodfacts.org/images/products/619/404/340/1857/front_fr.13.400.jpg,https://static.openfoodfacts.org/images/products/619/404/340/1857/ingredients_fr.7.400.jpg,https://static.openfoodfacts.org/images/products/619/404/340/1857/nutrition_fr.19.400.jpg
6191507249635,Crème fraîche épaisse,17,Tunisia,"Crème fraîche pasteurisée à une teneur en M.G. au minimum 30%, ferments lactiques sélectionnés.",nothing,0,nothing,2,b,290,1213,30,0,0.77,0,2.3,0,0,https://static.openfoodfacts.org/images/products/619/150/724/9635/front_fr.4.400.jpg,https://static.openfoodfacts.org/images/products/619/150/724/9635/ingredients_fr.5.400.jpg,https://static.openfoodfacts.org/images/products/619/150/724/9635/nutrition_en.16.400.jpg
3564700010846,Chocolat dessert pâtissier,200,"France,Tunisie","Pâte de cacao, sucre, beurre de cacao, émulsifiant : lécithines (tournesol), arôme. Traces de fruits à coque, lait et gluten.  Cacao : 52 % minimum.",nothing,1,"en:e322,en:e322i",21,e,0,2139,30,18,48,8.5,5.5,0,0,https://static.openfoodfacts.org/images/products/356/470/001/0846/front_fr.38.400.jpg,https://static.openfoodfacts.org/images/products/356/470/001/0846/ingredients_fr.7.400.jpg,https://static.openfoodfacts.org/images/products/356/470/001/0846/nutrition_fr.34.400.jpg
3564700497180,Fagots haricots verts extra fins x 5,220,"France, en:tunisia","Haricots verts extra-fins, eau, sel, lien de raphia (issu de feuille de palmier).  Ne pas consommer le lien de raphia.",nothing,0,nothing,-2,a,0,73,0.5,0.1,1.3,2.9,1.3,0.6,0.24,https://static.openfoodfacts.org/images/products/356/470/049/7180/front_fr.19.400.jpg,https://static.openfoodfacts.org/images/products/356/470/049/7180/ingredients_fr.7.400.jpg,https://static.openfoodfacts.org/images/products/356/470/049/7180/nutrition_fr.16.400.jpg
8593893757653,Chocolat blanc Dessert,180,"Canada,France,Tunisie,en:france","Sucre, lait entier en poudre, beurre de cacao, émulsiflant (lécithine), arôme naturel. Peut contenir: arachides, fruits à coque, soja.",en:milk,1,"en:e322,en:e322i",28,e,561,2347,34.3,20.1,54.7,0,8.2,0.3,0.12,https://static.openfoodfacts.org/images/products/859/389/375/7653/front_fr.39.400.jpg,https://static.openfoodfacts.org/images/products/859/389/375/7653/ingredients_fr.42.400.jpg,https://static.openfoodfacts.org/images/products/859/389/375/7653/nutrition_fr.45.400.jpg
5000159459228,Twix,50,"Argelia,Bélgica,Bulgaria,Finlandia,Francia,Alemania,Italia,México,Marruecos,Polonia,Portugal,Serbia,Eslovenia,España,Suecia,Suiza,Túnez,Reino Unido","glucose fructose syrup,  wheat flour  (17%), palm fat, cocoa butter, skimmed milk powder, cocoa mass,  lactose , milk fat, whey powder (from milk), fat reduced cocoa, salt, emulsifier (soya lecithin), raising agent (e500), natural vanilla extract, (may contain:  hazelnut ,  almond , barley, oats","en:gluten,en:milk,en:soybeans",2,"en:e322,en:e322i,en:e500",27,e,492,2060,0.5,14,48,0,4.4,0.4,0.16,https://static.openfoodfacts.org/images/products/500/015/945/9228/front_en.136.400.jpg,https://static.openfoodfacts.org/images/products/500/015/945/9228/ingredients_en.114.400.jpg,https://static.openfoodfacts.org/images/products/500/015/945/9228/nutrition_en.138.400.jpg
6194043001279,Lait écrémé 0% Délice,1,Tunisie,"Lait, E339",en:milk,1,en:e339,-1,a,31,130,0.1,0.1,4.5,0,3,0.1,0.04,https://static.openfoodfacts.org/images/products/619/404/300/1279/front_fr.5.400.jpg,https://static.openfoodfacts.org/images/products/619/404/300/1279/ingredients_fr.13.400.jpg,https://static.openfoodfacts.org/images/products/619/404/300/1279/nutrition_fr.15.400.jpg
7616100071401,Lait concentré sucré,397,"Algérie,France,Maroc,Tunisie","lait entier, sucre",en:milk,0,nothing,19,e,322,1359,8,5,55,0,7.5,0.26,0.1,https://static.openfoodfacts.org/images/products/761/610/007/1401/front_fr.15.400.jpg,https://static.openfoodfacts.org/images/products/761/610/007/1401/ingredients_fr.16.400.jpg,https://static.openfoodfacts.org/images/products/761/610/007/1401/nutrition_fr.27.400.jpg
6194055500135,Tmatem,1,"France,Tunisie","100% tomates fraîches, concentration 28/30%.",nothing,0,nothing,8,c,134,561,0.1,0,25,1.4,4,5.6,2.24,https://static.openfoodfacts.org/images/products/619/405/550/0135/front_fr.18.400.jpg,https://static.openfoodfacts.org/images/products/619/405/550/0135/ingredients_fr.11.400.jpg,https://static.openfoodfacts.org/images/products/619/405/550/0135/nutrition_fr.24.400.jpg
5000159031103,Maltesers,175,"Algeria,Belgium,Egypt,France,Germany,Morocco,Qatar,Switzerland,Tunisia,United Arab Emirates","sugar,  milk  ingredients (21%) (skimmed milk powder, milk fat), cocoa butter, glucose syrup, barley malt extract (7%), cocoa mass,  lactose , whey powder, vegetable fat, wheet four, emulsifier (soya lecithin), raising agents (e341, e500, e501), glazing agent (pectin), salt, natural vanilla extract,  milk choclate contains milk solids 14% minimum",en:milk,5,"en:e322,en:e322i,en:e341,en:e440,en:e500,en:e501",26,e,498,2084,24.3,15.1,53,1.1,8.1,0.4,0.16,https://static.openfoodfacts.org/images/products/500/015/903/1103/front_en.68.400.jpg,https://static.openfoodfacts.org/images/products/500/015/903/1103/ingredients_en.77.400.jpg,https://static.openfoodfacts.org/images/products/500/015/903/1103/nutrition_en.9.400.jpg
